0,Address,Census Tract,PM2.5,Poverty,Traffic,Noise Pollution,Minimum Price,Minimum Beds,Minimum Baths,Sqft,Units,Latitude,Longitude,Distance to School,Distance to Hospital,Distance to Grocery Store,City,Home Type,SoundScore
1,"1370 University Ave, Berkeley, CA",6001423100,9.128027341,24.2,932.2571034,36,3253,1,1,443,3,37.86991,-122.28474,0.437445184,0.897881095,0.039767744,Berkeley,MULTIUNIT,64
2,"3015 San Pablo Ave, Berkeley, CA",6001424002,9.303578087,20.5,873.049345,32,2595,1,1,450,10,37.851654,-122.286095,0.26097582,0.493989945,0.337404453,Berkeley,MULTIUNIT,68
3,"1260 Hopkins St, Berkeley, CA",6001421900,9.084806909,14.5,556.97488,29,2295,1,1,500,4,37.877346,-122.28903,0.15534275,1.134002075,0.282723805,Berkeley,MULTIUNIT,71
4,"1300 Delaware St, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,30,2295,1,1,500,1,37.872322,-122.28671,0.221829447,1.1806049,0.322491549,Berkeley,APARTMENT,70
5,"1122 University Ave, Berkeley, CA",6001423100,9.128027341,24.2,932.2571034,38,2597,0,1,425,24,37.868923,-122.290886,0.181440332,1.362666603,0.275267353,Berkeley,MULTIUNIT,62
6,"2435 San Pablo Ave, Berkeley, CA",6001423100,9.128027341,24.2,932.2571034,34,1400,0,1,174,38,37.861523,-122.28934,0.404512521,0.848171415,0.633177049,Berkeley,MULTIUNIT,66
7,"2696 Sacramento St 2696, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,31,1895,0,1,400,1,37.85894,-122.28049,0.455464943,0.474106073,0.628827452,Berkeley,APARTMENT,69
8,"1654 San Pablo Ave APT D, Berkeley, CA 94702",6001422100,9.090429362,20.6,637.3234915,36,2550,1,1,650,1,37.873627,-122.294,0.123031458,1.039553683,0.108739925,Berkeley,APARTMENT,64
9,"1420 Neilson St A, Berkeley, CA 94702",6001421900,9.084806909,14.5,556.97488,28,2195,1,1,650,1,37.87874,-122.2904,0.341132679,1.171905706,0.468513734,Berkeley,APARTMENT,72
10,"1800 Sacramento St B, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,32,3950,2,1,1004,1,37.87284,-122.28248,0.496475429,0.920871822,0.326219775,Berkeley,APARTMENT,68
11,"1132 Parker St D, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,29,2200,1,1,650,1,37.859337,-122.28737,0.153478637,0.257868965,0.365987519,Berkeley,APARTMENT,71
12,"2924 Mabel St APT E, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,31,2450,2,1,730,1,37.853127,-122.28414,0.123031458,0.39767744,0.461678653,Berkeley,APARTMENT,69
13,"1385 Neilson St 1385, Berkeley, CA 94702",6001421900,9.084806909,14.5,556.97488,28,4350,3,1,952,1,37.878944,-122.28985,0.363502035,1.194275062,0.490261719,Berkeley,APARTMENT,72
14,"3135 Mabel St, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,26,4295,3,2,1050,1,37.84989,-122.282646,0.324355662,0.494611316,0.299500822,Berkeley,SINGLE_FAMILY,74
15,"2122 Sacramento St A, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,32,3600,2,1,950,1,37.868458,-122.28227,0.329948001,1.032718602,0.415697199,Berkeley,APARTMENT,68
16,"2235 Bonar St, Berkeley, CA",6001423100,9.128027341,24.2,932.2571034,29,2995,2,1,900,2,37.86562,-122.28636,0.067729439,0.772364153,0.476591557,Berkeley,MULTIUNIT,71
17,"1342 Ordway St, Berkeley, CA 94702",6001421900,9.084806909,14.5,556.97488,30,3900,2,1,800,1,37.87922,-122.2876,0.055302019,1.042660538,0.210023398,Berkeley,APARTMENT,70
18,"1243 Allston Way, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,29,2399,1,1,550,1,37.86715,-122.28715,0.178954848,0.883589562,0.365366148,Berkeley,TOWNHOUSE,71
19,"1246 Hearst Ave 4, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,32,2710,2,1,908,1,37.870613,-122.28881,0.328083888,1.251441194,0.472863331,Berkeley,APARTMENT,68
20,"1428 Delaware St 2, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,31,2850,1,1,550,1,37.872692,-122.28319,0.430610103,0.98176618,0.423153651,Berkeley,SINGLE_FAMILY,69
21,"1919 Curtis St APT 8, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,33,2145,2,1,725,1,37.8701,-122.28932,0.192003639,1.212294821,0.454843572,Berkeley,APARTMENT,67
22,"1277 Hearst Ave APT 3, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,30,2295,2,1,700,1,37.87153,-122.28739,0.429367361,1.134623446,0.276510095,Berkeley,APARTMENT,70
23,"1180 University Ave APT 2, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,34,1995,1,1,560,1,37.869053,-122.28993,0.105011699,1.28623797,0.256626223,Berkeley,APARTMENT,66
24,"1269 Alcatraz Ave APT B, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,29,2350,1,1,550,1,37.8476,-122.281975,0.160935089,0.334297598,0.531272205,Berkeley,APARTMENT,71
25,"1219 Parker St A, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,27,2850,2,1,700,1,37.860016,-122.286156,0.22990727,0.404512521,0.548049222,Berkeley,APARTMENT,73
26,"1321 Addison St APT E, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,33,2995,2,1,750,1,37.869244,-122.28546,0.271539127,1.002271423,0.147886298,Berkeley,APARTMENT,67
27,"1218 Haskell St A, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,29,2800,2,1,850,1,37.850464,-122.28509,0.351695986,0.615778661,0.428124619,Berkeley,APARTMENT,71
28,"1251 Burnett St, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,28,2200,1,1,430,1,37.853657,-122.284645,0.128623797,0.403269779,0.406998005,Berkeley,SINGLE_FAMILY,72
29,"1100 Francisco St, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,33,2195,1,1,650,1,37.872486,-122.29271,0.137322991,1.113496832,0.073321778,Berkeley,APARTMENT,67
30,"2770 Dohr St B, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,27,2385,1,1,600,1,37.856106,-122.28161,0.121788716,0.469135105,0.270917756,Berkeley,APARTMENT,73
31,"1219 Parker St APT B, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,27,2150,1,1,600,1,37.86002,-122.28616,0.22990727,0.404512521,0.548049222,Berkeley,APARTMENT,73
32,"1402 Acton Cres, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,29,2275,1,1,450,1,37.867706,-122.2839,0.096312505,1.040796425,0.182683074,Berkeley,APARTMENT,71
33,"1316 Ashby Ave APT C, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,29,2200,2,1,600,1,37.852642,-122.28296,0.231150012,0.619506887,0.392706472,Berkeley,APARTMENT,71
34,"1215 Blake St D, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,29,2600,2,1,800,1,37.860886,-122.28637,0.170255654,0.468513734,0.581603256,Berkeley,APARTMENT,71
35,"3210 Sacramento St, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,30,4600,3,1,1090,1,37.849106,-122.27836,0.631312936,0.067729439,0.262839933,Berkeley,SINGLE_FAMILY,70
36,"1138 Addison St APT 1, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,32,3100,3,1,850,1,37.86819,-122.28974,0.019262501,1.245848855,0.330569372,Berkeley,APARTMENT,68
37,"1245 Francisco St D, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,29,1700,0,1,200,1,37.873466,-122.28807,0.218101221,1.36080249,0.456086314,Berkeley,APARTMENT,71
38,"1154 Francisco St, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,29,2400,2,1,650,1,37.872665,-122.2906,0.060272987,1.454629511,0.178333477,Berkeley,APARTMENT,71
39,"1314 Ashby Ave, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,29,4400,4,2,1400,1,37.852642,-122.28295,0.230528641,0.620128258,0.392085101,Berkeley,SINGLE_FAMILY,71
40,"2169 Acton St, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,29,2275,1,1,450,1,37.86763,-122.28367,0.108118554,1.052602474,0.194489123,Berkeley,APARTMENT,71
41,"1257 Francisco St APT 1, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,31,4000,3,2,1000,1,37.873753,-122.28724,0.170255654,1.256412162,0.398298811,Berkeley,APARTMENT,69
42,"2853 Sacramento St, Berkeley, CA 94702",6001423400,9.145700959,26.1,742.2529583,29,4795,3,2,1220,1,37.855644,-122.27922,0.239227835,0.684129471,0.200081462,Berkeley,SINGLE_FAMILY,71
43,"1321 Addison St H, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,33,2895,2,1,750,1,37.869247,-122.28548,0.271539127,1.003514165,0.14912904,Berkeley,APARTMENT,67
44,"2223 Bonar St APT C, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,28,2450,3,1,850,1,37.866096,-122.28647,0.100662102,0.805296816,0.443037523,Berkeley,APARTMENT,72
45,"1923 Curtis St, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,35,2750,2,1,700,1,37.869953,-122.28929,0.193867752,1.214158934,0.485290751,Berkeley,APARTMENT,65
46,"2112 Curtis St, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,31,2050,1,1,470,1,37.868015,-122.289566,0.072079036,1.19303232,0.338647195,Berkeley,APARTMENT,69
47,"1212 Francisco St, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,29,2795,2,1,900,1,37.872837,-122.289246,0.134837507,1.451522656,0.385871391,Berkeley,SINGLE_FAMILY,71
48,"2521 San Pablo Ave APT D, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,34,3000,3,1,860,1,37.86075,-122.289116,0.193246381,0.647468582,0.47224196,Berkeley,APARTMENT,66
49,"2921 Acton St B, Berkeley, CA 94702",6001423300,9.145700959,24.1,909.3878523,29,1975,0,1,400,1,37.853767,-122.28132,0.101904844,0.523194382,0.263461304,Berkeley,APARTMENT,71
50,"1944 Curtis St APT 2, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,33,1699,0,1,450,1,37.870228,-122.289894,0.203188317,1.223479499,0.443037523,Berkeley,APARTMENT,67
51,"1340 Addison St, Berkeley, CA 94702",6001423100,9.128027341,24.2,932.2571034,31,2500,2,1,600,1,37.86886,-122.284424,0.073943149,0.955047227,0.096312505,Berkeley,APARTMENT,69
52,"1728 Curtis St APT C, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,29,2399,2,1,685,1,37.87282,-122.29017,0.085127827,1.429774671,0.203188317,Berkeley,APARTMENT,71
53,"1420 Alcatraz Ave, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,30,3595,3,1,1150,1,37.84757,-122.2785,0.347346389,0.165906057,0.344239534,Berkeley,TOWNHOUSE,70
54,"1305 66th St, Berkeley, CA 94702",6001424002,9.303578087,20.5,873.049345,26,2200,1,1,514,1,37.84971,-122.2825,0.312549613,0.382764536,0.343618163,Berkeley,MULTI_FAMILY,74
55,"1931 San Pablo Ave UNIT 105, Berkeley, CA 94702",6001422200,9.084806909,21.6,764.1546687,35,1595,0,1,550,1,37.869965,-122.291664,0.369715745,1.27381055,0.142293959,Berkeley,APARTMENT,65
